__CardsToDelete,"CreditCard_Key INT NOT NULL "
MaritalStatus,"MARITAL_STATUS_KEY SMALLINT NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
MarketingInvitation,"MARKETING_INVITATION_KEY INT NOT NULL ,RESERVATION_CODE BIGINT NOT NULL ,VISITOR_KEY INT NULL ,LOAN_APPLICATION_KEY INT NULL ,FULL_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",NAME_PREFIX VARCHAR(8000) NULL COLLATE ""en-ci"",FIRST_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MIDDLE_INITIAL VARCHAR(8000) NULL COLLATE ""en-ci"",LAST_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",NAME_SUFFIX VARCHAR(8000) NULL COLLATE ""en-ci"",SECONDARY_ADDRESS VARCHAR(8000) NULL COLLATE ""en-ci"",PRIMARY_ADDRESS VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STREET_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STREET_PRE_DIRECTIONAL VARCHAR(8000) NULL COLLATE ""en-ci"",STREET_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STREET_SUFFIX VARCHAR(8000) NULL COLLATE ""en-ci"",STREET_POST_DIRECTIONAL VARCHAR(8000) NULL COLLATE ""en-ci"",UNIT_DESIGNATOR VARCHAR(8000) NULL COLLATE ""en-ci"",UNIT_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",CITY_STATE_ZIP_ZIP_4 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CITY VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STATE CHAR(8000) NOT NULL COLLATE ""en-ci"",ZIP_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ZIP_4 VARCHAR(8000) NULL COLLATE ""en-ci"",CARRIER_ROUTE_TYPE_WITH_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",DELIVERY_POINT_BARCODE INT NULL ,LINE_OF_TRAVEL VARCHAR(8000) NULL COLLATE ""en-ci"",STATE_COUNTY_CODE INT NULL ,DISASTER_ZIP_FLAG BOOLEAN NULL ,COUNTY_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",KEY_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",MAIL_TYPE CHAR(8000) NULL COLLATE ""en-ci"",MAIL_DATE DATE NULL ,EXPIRATION_DATE DATE NOT NULL ,APPROVED_AMOUNT DECIMAL(38,0) NULL ,IDENTIFICATION_INFO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_KEY INT NULL ,MINIMUM_INCOME NUMBER(10,4) NULL ,LOAN_PRODUCT_KEY INT NOT NULL ,IS_FOR_TESTING BOOLEAN NOT NULL ,IS_FOR_BRICK_MORTAR_STORES BOOLEAN NOT NULL ,IS_FOR_INTERNET_LENDING BOOLEAN NOT NULL ,PERCENT_OF_INCOME INT NULL "
MarketingInvitationHistory,"MARKETING_INVITATION_HISTORY_KEY INT NOT NULL ,RESERVATION_CODE BIGINT NOT NULL ,DATE_ENTERED datetime NOT NULL ,ATTRIBUTES INT NOT NULL ,COMMENTS VARCHAR(8000) NULL COLLATE ""en-ci"""
MarketingInvitationOverrideType,"MarketingInvitationOverrideTypeKey CHAR(8000) NOT NULL COLLATE ""en-ci"",Description VARCHAR(8000) NOT NULL COLLATE ""en-ci"",Name VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
MarketingInvitationSummary,"MARKETING_INVITATION_SUMMARY_KEY INT NOT NULL ,KEY_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",STATE CHAR(8000) NOT NULL COLLATE ""en-ci"",MAIL_DATE DATE NULL ,EXPIRATION_DATE DATE NOT NULL ,IS_FOR_TESTING BOOLEAN NOT NULL ,IS_FOR_BRICK_MORTAR_STORES BOOLEAN NOT NULL ,IS_FOR_INTERNET_LENDING BOOLEAN NOT NULL "
Markets,"MARKET_KEY smallint NOT NULL ,MARKET_DESC VARCHAR(8000) NULL COLLATE ""en-ci"",LOCALE_SETTING_KEY INT NULL "
Message,"MESSAGE_KEY INT NOT NULL ,MESSAGE_CLASS_KEY INT NOT NULL ,MESSAGE_SCENARIO_KEY INT NOT NULL ,MESSAGE_TEXT VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MESSAGE_DIRECTIVE VARCHAR(8000) NULL COLLATE ""en-ci"",CLIENT_APPLICATION_KEY SMALLINT NULL "
MessageClass,"MESSAGE_CLASS_KEY INT NOT NULL ,MESSAGE_CLASS_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MESSAGE_CLASS_DESCRIPTION VARCHAR(8000) NULL COLLATE ""en-ci"",MESSAGE_CLASS_ID INT NOT NULL "
MessageScenario,"MESSAGE_SCENARIO_KEY INT NOT NULL ,MESSAGE_SCENARIO_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",MESSAGE_SCENARIO_DESCRIPTION VARCHAR(8000) NULL COLLATE ""en-ci"",MESSAGE_SCENARIO_ID INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"""
MimeType,"MIME_TYPE_KEY smallint NOT NULL ,MIME_TYPE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FILE_EXTENSION VARCHAR(8000) NULL COLLATE ""en-ci"""
MoneyGramLookupLog,"MONEYGRAM_LOOKUP_LOG_KEY INT NOT NULL ,MONEYGRAM_LOOKUP_TYPE_KEY SMALLINT NOT NULL ,REQUEST_CONTENT VARCHAR(8000) NULL COLLATE ""en-ci"",RESPONSE_CONTENT VARCHAR(8000) NULL COLLATE ""en-ci"",DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"""
MoneyGramLookupType,"MONEYGRAM_LOOKUP_TYPE_KEY SMALLINT NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
MoneyGramTransmissionLog,"MONEYGRAM_TRANSMISSION_LOG_KEY INT NOT NULL ,MONEYGRAM_TRANSMISSION_TYPE_KEY SMALLINT NOT NULL ,REQUEST_CONTENT VARCHAR(8000) NULL COLLATE ""en-ci"",RESPONSE_CONTENT VARCHAR(8000) NULL COLLATE ""en-ci"",REFERENCE_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,TRANS_DETAIL_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"""
MoneyGramTransmissionType,"MONEYGRAM_TRANSMISSION_TYPE_KEY SMALLINT NOT NULL ,DESCRIPTION VARCHAR(8000) NULL COLLATE ""en-ci"""
MoneyOrderDailyTotal,"MONEY_ORDER_DAILY_TOTAL_KEY INT NOT NULL ,DATE_ENTERED DATE NOT NULL ,LOCATION smallint NOT NULL ,ISSUED_AMOUNT NUMBER(10,4) NOT NULL "
MoneyOrderPrinter,"MONEY_ORDER_PRINTER_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,HOST_NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PORT_NUMBER INT NOT NULL ,PROFILE_UNIT_NUMBER INT NOT NULL ,API_VERSION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_ENABLED BOOLEAN NOT NULL ,IS_PRODUCTION_PRINTER BOOLEAN NOT NULL "
MoneyOrderPrinterStoreWindows,"MONEY_ORDER_PRINTER_STORE_WINDOWS_KEY INT NOT NULL ,MONEY_ORDER_PRINTER_KEY INT NOT NULL ,Store_Windows_Key INT NOT NULL "
MOStatus,"Error VARCHAR(8000) NULL COLLATE ""en-ci"",MONumber VARCHAR(8000) NULL COLLATE ""en-ci"",PrinterNumber SMALLINT NOT NULL ,Teller CHAR(8000) NOT NULL COLLATE ""en-ci"",Amount NUMBER(19,4) NOT NULL ,StatusCode smallint NOT NULL ,SubmitTime datetime NOT NULL ,Location smallint NOT NULL ,SequenceNo INT NOT NULL ,TELLER_FIRSTNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",TELLER_LASTNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
MOStatusHistory,"Error VARCHAR(8000) NULL COLLATE ""en-ci"",MONumber VARCHAR(8000) NULL COLLATE ""en-ci"",PrinterNumber SMALLINT NOT NULL ,Teller CHAR(8000) NOT NULL COLLATE ""en-ci"",Amount NUMBER(19,4) NOT NULL ,StatusCode smallint NOT NULL ,SubmitTime datetime NOT NULL ,Location smallint NOT NULL ,SequenceNo INT NOT NULL ,TELLER_FIRSTNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"",TELLER_LASTNAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
MPayAmort,"MPAY_AMORT_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,PAYMENT_NUM SMALLINT NOT NULL ,PAYMENT_DATE TIMESTAMP_LTZ NOT NULL ,PAYMENT_AMT NUMBER(10,4) NOT NULL ,PRINC_AMT NUMBER(10,4) NOT NULL ,INTEREST_AMT NUMBER(10,4) NOT NULL ,BALANCE NUMBER(10,4) NOT NULL ,TRANS_FEE_AMT NUMBER(10,4) NOT NULL ,LOAN_FEE_AMT NUMBER(10,4) NOT NULL ,CAB_INTEREST_AMT NUMBER(10,4) NOT NULL ,DISCOUNT_AMT NUMBER(10,4) NOT NULL ,ADJUSTED_PAYMENT_DATE DATE NOT NULL ,INSURANCE_FEE_AMT NUMBER(10,4) NOT NULL ,ORIG_PAYMENT_AMT NUMBER(10,4) NOT NULL ,SCHEDULED_PAYMENT_KEY INT NOT NULL "
MPayAmortDueDateChange,"MPAY_AMORT_DUE_DATE_CHANGE_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,MPAY_AMORT_KEY INT NOT NULL ,ADJUSTED_DUE_DATE DATE NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"",IS_DELETED BOOLEAN NOT NULL ,DATE_DELETED TIMESTAMP_LTZ NULL ,DELETED_BY CHAR(8000) NULL COLLATE ""en-ci"""
MPayInterest,"MPAY_INTEREST_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,PRINC_DUE NUMBER(10,4) NOT NULL ,INTEREST_ADDED NUMERIC NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,INTEREST_DATE TIMESTAMP_LTZ NOT NULL ,LOAN_BALANCE NUMBER(10,4) NOT NULL ,IS_ACH_ADJ BOOLEAN NOT NULL ,IS_ERR_ADJ BOOLEAN NOT NULL ,TRANS_FEE_ADDED NUMERIC NOT NULL ,CAB_INTEREST_ADDED NUMERIC NOT NULL ,IS_DISCOUNT BOOLEAN NOT NULL ,COLLECTIONS_AMT NUMBER(10,4) NULL ,TRANS_DETAIL_KEY INT NULL "
MPayLoan,"MPAY_LOAN_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,ANNUAL_RATE_PCT NUMERIC NOT NULL ,MONTHLY_RATE_PCT NUMERIC NOT NULL ,DAILY_RATE_PCT NUMERIC NOT NULL ,ACTUARIAL_APR NUMERIC NOT NULL ,ODD_DAYS_INTEREST_CNT smallint NOT NULL ,ODD_DAYS_INTEREST_AMT NUMBER(10,4) NOT NULL ,TRANS_FEE_PCT DECIMAL(38,0) NOT NULL ,CYCLE_DAYS smallint NOT NULL ,COLLECTION_DAYS smallint NOT NULL ,AMORT_PAYMENT_CNT smallint NOT NULL ,SCHED_LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,SCHED_LAST_PAYMENT_DATE DATE NULL ,LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,LAST_PAYMENT_DATE DATE NULL ,NEXT_DUE_AMT NUMBER(10,4) NOT NULL ,NEXT_DUE_DATE DATE NULL ,EST_FINANCE_CHARGE NUMBER(10,4) NOT NULL ,CREDIT_LIMIT NUMBER(10,4) NOT NULL ,CLOSED_DATE DATE NULL ,IS_INTEREST_SUSPENDED BOOLEAN NOT NULL ,PENDING_SCHED_ACH_AMT NUMBER(10,4) NOT NULL ,TRANS_FEE_AMT NUMBER(10,4) NOT NULL ,PAYMENT_PLAN_FEE NUMBER(10,4) NOT NULL ,PAYMENT_PLAN_LOAN_KEY INT NULL ,IS_BUSINESS_LOAN BOOLEAN NOT NULL ,TRANS_FEE_METHOD CHAR(8000) NOT NULL COLLATE ""en-ci"",TRANS_FEE_COLORADO_POSTPONE_AMT NUMBER(10,4) NOT NULL ,DECLINED_AUTO_PAY BOOLEAN NOT NULL ,SET_INACTIVE_ON_DAY smallint NOT NULL ,SET_INACTIVE_ON_MISSED_PAYMENT_COUNT smallint NOT NULL ,SET_INACTIVE_ON_DAY_AFTER_MISSED_PAYMENT_COUNT smallint NOT NULL ,SELECTED_CYCLE_WEEKS smallint NOT NULL ,COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,LEGAL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,LOAN_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,TRANS_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,PRINC_DUE_BAL NUMBER(10,4) NOT NULL ,PAYMENT_DUE_BAL NUMBER(10,4) NOT NULL ,PAYMENT_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,CAB_ANNUAL_RATE_PCT NUMERIC NOT NULL ,CAB_MONTHLY_RATE_PCT NUMERIC NOT NULL ,CAB_DAILY_RATE_PCT NUMERIC NOT NULL ,CAB_COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,CAB_INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,RESUME_INTEREST_DATE DATE NULL ,APPLY_DISCOUNT_TO CHAR(8000) NOT NULL COLLATE ""en-ci"",INACTIVE_DATE DATE NULL ,RI_FEE_PER_DEFAULT NUMBER(10,4) NOT NULL ,RI_FEES_PER_LOAN smallint NOT NULL ,NSF_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,CYCLE_DAYS_FIXED BOOLEAN NOT NULL ,CYCLE_DUE_DATE_MATCH BOOLEAN NOT NULL ,IS_DAY_AFTER_DUE BOOLEAN NOT NULL ,MAX_RI_FEES_PER_LOAN_SERIES smallint NOT NULL ,RI_FEE_REQUIRES_BANK_ACCOUNT BOOLEAN NOT NULL ,ORIG_MATURITY_DATE DATE NULL ,ADJUSTED_MATURITY_DATE DATE NOT NULL ,CYCLES_PAST_DUE INT NOT NULL ,INSURANCE_DUE_BAL NUMBER(10,4) NOT NULL ,LOAN_FEE_CSO_AMORT_TOTAL NUMBER(10,4) NOT NULL ,DUE_DATE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,WRITE_OFF_LOAN_PAYMENT_KEY INT NULL ,INSURANCE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,COLLECTIONS_BAL NUMBER(10,4) NOT NULL ,DAILY_INTEREST_AMT NUMERIC NOT NULL ,DEFERRED_REVENUE_DUE_BAL NUMBER(10,4) NOT NULL ,DEFERRED_REVENUE_TOTAL_BAL NUMBER(10,4) NOT NULL ,SET_INACTIVE_ON_DAYS_PAST_DUE smallint NOT NULL ,INTEREST_AMORT_TABLE_CAP_ENABLED BOOLEAN NOT NULL ,INTEREST_BASED_ON_PAST_DUE_ENABLED BOOLEAN NOT NULL ,INTEREST_CHARGED_AFTER_MATURITY_ENABLED BOOLEAN NOT NULL ,INTEREST_CHARGED_ON_CAB_FEES BOOLEAN NOT NULL ,LOAN_FEE_CSO_NON_REFUNDABLE_PCT DECIMAL(38,0) NOT NULL ,NON_REFUNDABLE_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,APPLY_OVERPAYMENTS_TO_FUTURE_DUE_DATES BOOLEAN NOT NULL ,SET_INACTIVE_ON_DAY_AFTER_MISSED_PARTIAL_PAYMENT_DAYS smallint NOT NULL ,SET_INACTIVE_ON_DAY_AFTER_MISSED_PARTIAL_PAYMENT_PCT SMALLINT NOT NULL ,RESUME_INTEREST_TYPE_KEY SMALLINT NOT NULL "
MPayLoanInSyncAdj,"MPAY_LOAN_IN_SYNC_ADJ_KEY INT NOT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_KEY INT NOT NULL ,LOAN_STATUS CHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_BALANCE NUMBER(10,4) NOT NULL ,RI_BALANCE NUMBER(10,4) NOT NULL ,PRINC_AMT NUMBER(10,4) NOT NULL ,CASH_AMT NUMBER(19,4) NOT NULL ,TRANS_FEE_AMT NUMBER(10,4) NOT NULL ,CHARGE_TRANS_FEE BOOLEAN NOT NULL ,LIEN_FEE_AMT NUMBER(10,4) NOT NULL ,CHARGE_LIEN_FEE BOOLEAN NOT NULL ,ORIG_DUE_DATE TIMESTAMP_LTZ NULL ,ADJUSTED_DUE_DATE TIMESTAMP_LTZ NULL ,DEFAULTED BOOLEAN NOT NULL ,DEFAULT_DATE TIMESTAMP_LTZ NULL ,LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,LAST_PAYMENT_DATE TIMESTAMP_LTZ NULL ,NEXT_DUE_DATE TIMESTAMP_LTZ NULL ,NEXT_DUE_AMT NUMBER(10,4) NOT NULL ,PENDING_SCHED_ACH_SENT TIMESTAMP_LTZ NULL ,PENDING_SCHED_ACH_AMT NUMBER(10,4) NOT NULL ,C_LOAN_STATUS CHAR(8000) NOT NULL COLLATE ""en-ci"",C_LOAN_BALANCE NUMBER(10,4) NOT NULL ,C_RI_BALANCE NUMBER(10,4) NOT NULL ,C_PRINC_AMT NUMBER(10,4) NOT NULL ,C_CASH_AMT NUMBER(19,4) NOT NULL ,C_TRANS_FEE_AMT NUMBER(10,4) NOT NULL ,C_CHARGE_TRANS_FEE BOOLEAN NOT NULL ,C_LIEN_FEE_AMT NUMBER(10,4) NOT NULL ,C_CHARGE_LIEN_FEE BOOLEAN NOT NULL ,C_ORIG_DUE_DATE TIMESTAMP_LTZ NULL ,C_ADJUSTED_DUE_DATE TIMESTAMP_LTZ NULL ,C_DEFAULTED BOOLEAN NOT NULL ,C_DEFAULT_DATE TIMESTAMP_LTZ NULL ,C_LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,C_LAST_PAYMENT_DATE TIMESTAMP_LTZ NULL ,C_NEXT_DUE_DATE TIMESTAMP_LTZ NULL ,C_NEXT_DUE_AMT NUMBER(10,4) NOT NULL ,C_PENDING_SCHED_ACH_SENT TIMESTAMP_LTZ NULL ,C_PENDING_SCHED_ACH_AMT NUMBER(10,4) NOT NULL ,C_ADJ_CNT_INT INT NOT NULL ,C_ADJ_CNT_PENDING_ACH_INT INT NOT NULL ,C_ADJ_CNT_LP_MPAY_RECORD INT NOT NULL ,TRANS_FEE_COLORADO_POSTPONE_AMT NUMBER(10,4) NULL ,C_TRANS_FEE_COLORADO_POSTPONE_AMT NUMBER(10,4) NULL ,COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,LEGAL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,LOAN_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,TRANS_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,PRINC_DUE_BAL NUMBER(10,4) NOT NULL ,C_COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,C_LEGAL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,C_LOAN_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,C_TRANS_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,C_INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,C_PRINC_DUE_BAL NUMBER(10,4) NOT NULL ,PAYMENT_DUE_BAL NUMBER(10,4) NOT NULL ,PAYMENT_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,C_PAYMENT_DUE_BAL NUMBER(10,4) NOT NULL ,C_PAYMENT_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,INVENTORY_AMT NUMBER(10,4) NOT NULL ,C_INVENTORY_AMT NUMBER(10,4) NOT NULL ,CAB_INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,CAB_COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,C_CAB_INTEREST_DUE_BAL NUMBER(10,4) NOT NULL ,C_CAB_COLL_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,LOAN_AMT NUMBER(10,4) NOT NULL ,C_LOAN_AMT NUMBER(10,4) NOT NULL ,NSF_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,C_NSF_FEE_PAST_DUE_BAL NUMBER(10,4) NOT NULL ,REBATE_AMT NUMBER(10,4) NULL ,C_REBATE_AMT NUMBER(10,4) NULL ,DISC_AMT NUMBER(10,4) NULL ,C_DISC_AMT NUMBER(10,4) NULL ,IS_IN_LEGAL_STATUS BOOLEAN NULL ,CYCLES_PAST_DUE INT NOT NULL ,C_CYCLES_PAST_DUE INT NOT NULL ,PENDING_PMT_AMT NUMBER(10,4) NOT NULL ,C_PENDING_PMT_AMT NUMBER(10,4) NOT NULL ,PENDING_PMT_DATE DATE NULL ,C_PENDING_PMT_DATE DATE NULL ,PENDING_PMT_PRINC NUMBER(10,4) NOT NULL ,C_PENDING_PMT_PRINC NUMBER(10,4) NOT NULL ,PENDING_PMT_INTEREST_CAP NUMBER(10,4) NOT NULL ,C_PENDING_PMT_INTEREST_CAP NUMBER(10,4) NOT NULL ,PENDING_PMT_CAB_INTEREST_CAP NUMBER(10,4) NOT NULL ,C_PENDING_PMT_CAB_INTEREST_CAP NUMBER(10,4) NOT NULL ,INSURANCE_DUE_BAL NUMBER(10,4) NOT NULL ,C_INSURANCE_DUE_BAL NUMBER(10,4) NOT NULL ,DUE_DATE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,C_DUE_DATE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,INSURANCE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,C_INSURANCE_PAYMENT_QUEUE_BAL NUMBER(10,4) NOT NULL ,NON_REFUNDABLE_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,C_NON_REFUNDABLE_FEE_DUE_BAL NUMBER(10,4) NOT NULL ,C_ADJ_CNT_AMORT_RECORD INT NOT NULL "
MPayRecalcAmortAdj,"MPAY_RECALC_AMORT_ADJ_KEY INT NOT NULL ,MPAY_AMORT_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,PAYMENT_AMT NUMBER(10,4) NOT NULL ,C_PAYMENT_AMT NUMBER(10,4) NOT NULL "
MPayRecalcInterestAdj,"MPAY_RECALC_INTEREST_ADJ_KEY INT NOT NULL ,MPAY_INTEREST_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,ENTERED_BY CHAR(8000) NOT NULL COLLATE ""en-ci"",DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,INTEREST_DATE DATE NULL ,C_INTEREST_DATE DATE NOT NULL ,INTEREST_ADDED NUMERIC NOT NULL ,C_INTEREST_ADDED NUMERIC NOT NULL ,CAB_INTEREST_ADDED NUMERIC NOT NULL ,C_CAB_INTEREST_ADDED NUMERIC NOT NULL ,TRANS_FEE_ADDED NUMERIC NOT NULL ,C_TRANS_FEE_ADDED NUMERIC NOT NULL ,PRINC_DUE NUMBER(10,4) NOT NULL ,C_PRINC_DUE NUMBER(10,4) NOT NULL ,LOAN_BALANCE NUMBER(10,4) NOT NULL ,C_LOAN_BALANCE NUMBER(10,4) NOT NULL ,COLLECTIONS_AMT NUMBER(10,4) NOT NULL ,C_COLLECTIONS_AMT NUMBER(10,4) NOT NULL "
